pre,ACD,FOUT_avg,FOUT_max,FOUT_sum,MLOC_avg,MLOC_max,MLOC_sum,NBD_avg,NBD_max,NBD_sum,NOF_avg,NOF_max,NOF_sum,NOI,NOM_avg,NOM_max,NOM_sum,NOT,NSF_avg,NSF_max,NSF_sum,NSM_avg,NSM_max,NSM_sum,PAR_avg,PAR_max,PAR_sum,TLOC,VG_avg,VG_max,VG_sum,post
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,16,0,0,0,0,0,0,19,0,0,0,FALSE
1,1,5.26315789473684,30,200,9.21052631578947,48,350,1.76315789473684,6,67,5,12,15,0,12.3333333333333,34,37,1,0.333333333333333,1,1,0.333333333333333,1,1,1.15789473684211,4,44,470,3.15789473684211,19,120,FALSE
1,0,5.33333333333333,10,16,10.6666666666667,14,32,2,3,6,2,2,2,0,3,3,3,1,0,0,0,0,0,0,1,2,3,57,3,5,9,FALSE
2,1,3.77777777777778,9,34,4.77777777777778,14,43,1.22222222222222,2,11,6,6,6,0,9,9,9,1,0,0,0,0,0,0,0.888888888888889,3,8,79,1.11111111111111,2,10,FALSE
0,0,8.5,14,17,5.5,9,11,1,1,2,1,1,1,0,2,2,2,1,0,0,0,0,0,0,0.5,1,1,21,1,1,2,FALSE
3,3,3.70833333333333,12,89,5.45833333333333,24,131,1.33333333333333,3,32,5,5,5,0,22,22,22,1,0,0,0,2,2,2,0.708333333333333,3,17,207,1.75,6,42,TRUE
3,2,4.64705882352941,15,79,7.76470588235294,23,132,1.70588235294118,4,29,6,6,6,0,17,17,17,1,1,1,1,0,0,0,0.764705882352941,3,13,197,2.76470588235294,8,47,TRUE
0,0,4.63636363636364,14,51,7.09090909090909,25,78,1.63636363636364,4,18,2,2,2,0,11,11,11,1,0,0,0,0,0,0,0.818181818181818,2,9,132,3.09090909090909,9,34,FALSE
2,3,5,31,130,7.03846153846154,34,183,1.26923076923077,3,33,7,12,14,0,13,25,26,1,0,0,0,0,0,0,0.692307692307692,2,18,277,2.19230769230769,7,57,TRUE
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,13,13,0,0,0,0,0,0,16,0,0,0,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,4,0,0,0,0,0,0,7,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,5,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,0,0,0,0,0,0,0,0.444444444444444,1,4,12,0,0,0,FALSE
0,0,1.25,2,5,1.75,5,7,1.25,2,5,0,0,0,0,1,1,1,1,2,2,2,3,3,3,1.25,2,5,23,1.25,2,5,FALSE
2,2,3.79166666666667,21,91,7.41666666666667,48,178,1.58333333333333,5,38,2,2,2,0,13,13,13,1,6,6,6,11,11,11,0.708333333333333,3,17,285,2.83333333333333,13,68,FALSE
2,11,5.64814814814815,56,305,8.11111111111111,75,438,1.37037037037037,4,74,3.8,16,19,0,9.4,25,47,1,0.8,4,4,1.4,7,7,0.722222222222222,3,39,645,2.01851851851852,9,109,FALSE
1,2,3.54545454545455,9,39,6.09090909090909,12,67,1.27272727272727,2,14,4,4,4,0,11,11,11,1,2,2,2,0,0,0,1.72727272727273,7,19,110,1.72727272727273,4,19,FALSE
2,0,3.16666666666667,17,19,3.83333333333333,18,23,1,3,6,2,2,2,0,6,6,6,1,0,0,0,0,0,0,0.833333333333333,2,5,47,1.16666666666667,4,7,FALSE
1,0,2.75,6,11,4,7,16,1.75,3,7,1,1,1,0,4,4,4,1,0,0,0,0,0,0,1.5,3,6,35,1.75,3,7,TRUE
1,0,2.5,6,15,5.5,18,33,1.5,3,9,2,2,2,0,6,6,6,1,0,0,0,0,0,0,1.5,3,9,59,2.66666666666667,7,16,FALSE
0,0,3.6,5,18,7.2,10,36,1.6,2,8,3,3,3,0,5,5,5,1,4,4,4,0,0,0,1,4,5,59,3,4,15,FALSE
1,8,4.28,34,107,10.52,80,263,2.04,3,51,5.33333333333333,15,16,0,8.33333333333333,22,25,1,0,0,0,0,0,0,1.04,5,26,349,3,18,75,FALSE
0,0,1.5,2,3,3.5,6,7,1,1,2,4,4,4,0,2,2,2,1,0,0,0,0,0,0,2,4,4,20,1,1,2,FALSE
0,0,3.5,4,7,10.5,16,21,2,2,4,0,0,0,0,2,2,2,1,0,0,0,0,0,0,3,4,6,34,4,6,8,FALSE
2,1,4.38461538461539,19,57,6.61538461538461,23,86,1.46153846153846,3,19,2,2,4,0,6.5,7,13,1,0,0,0,0,0,0,1.30769230769231,5,17,146,2.15384615384615,6,28,FALSE
1,0,0.444444444444444,2,4,1.11111111111111,2,10,1,1,9,4,4,4,0,9,9,9,1,0,0,0,0,0,0,0.555555555555556,2,5,35,1,1,9,FALSE
5,14,5.49206349206349,22,346,8.09523809523809,35,510,1.66666666666667,4,105,7,28,28,0,15.5,56,62,1,0.25,1,1,0.25,1,1,0.793650793650794,5,50,732,2.12698412698413,13,134,TRUE
1,4,3.33333333333333,13,60,5.94444444444444,24,107,1.55555555555556,4,28,12,12,12,0,18,18,18,1,0,0,0,0,0,0,0.833333333333333,3,15,187,1.61111111111111,4,29,FALSE
0,0,5,10,25,6,11,30,1.8,3,9,0,0,0,0,3,3,3,1,1,1,1,2,2,2,4.2,5,21,53,2.4,4,12,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,5,0,0,0,FALSE
0,0,0.142857142857143,1,3,1.38095238095238,3,29,1,1,21,2,2,2,0,18,18,18,1,0,0,0,3,3,3,0.428571428571429,2,9,79,1,1,21,FALSE
1,0,14.6666666666667,80,132,22.1111111111111,118,199,2.77777777777778,7,25,1.5,3,3,0,0.5,1,1,1,0,0,0,4,8,8,2.77777777777778,6,25,241,6.77777777777778,32,61,FALSE
0,0,1.55555555555556,4,14,6,18,54,1.66666666666667,2,15,0,0,0,0,0,0,0,1,0,0,0,9,9,9,2.88888888888889,7,26,82,2.11111111111111,5,19,FALSE
0,0,1.6,4,8,1.6,4,8,1,1,5,1,1,1,0,5,5,5,1,0,0,0,0,0,0,1,1,5,26,1,1,5,FALSE
0,0,6.66666666666667,21,60,9.11111111111111,23,82,1.77777777777778,3,16,0,0,0,0,1,1,1,1,0,0,0,8,8,8,1.33333333333333,2,12,118,3,9,27,FALSE
0,0,1,1,2,5.5,10,11,2,3,4,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2.5,3,5,23,2.5,4,5,TRUE
1,0,5.16666666666667,11,31,5.5,13,33,1.16666666666667,2,7,0,0,0,0,1,1,1,1,0,0,0,5,5,5,0.666666666666667,1,4,62,2.66666666666667,7,16,FALSE
0,1,4.13333333333333,11,62,7.26666666666667,22,109,1.8,4,27,2,4,4,0,3.5,5,7,1,0,0,0,4,8,8,1.73333333333333,5,26,177,3.26666666666667,12,49,TRUE
2,1,2.44444444444444,7,22,4.77777777777778,17,43,1.55555555555556,6,14,2,2,2,0,9,9,9,1,1,1,1,0,0,0,0.555555555555556,2,5,83,1.44444444444444,4,13,FALSE
1,3,2.8125,16,90,7.25,44,232,1.84375,5,59,7,14,14,0,14.5,28,29,1,0,0,0,1.5,3,3,1.21875,4,39,328,2.625,9,84,TRUE
0,0,5.25,11,21,7.5,16,30,1.75,3,7,2,2,2,0,4,4,4,1,0,0,0,0,0,0,0,0,0,49,2,4,8,FALSE
3,3,9.78048780487805,31,401,14.1707317073171,43,581,2.34146341463415,6,96,14,14,14,0,40,40,40,1,9,9,9,1,1,1,0.853658536585366,3,35,741,3.65853658536585,11,150,TRUE
1,4,5.30434782608696,34,122,10.5652173913043,63,243,1.82608695652174,8,42,5.5,8,11,0,11.5,15,23,1,2,4,4,0,0,0,0.652173913043478,3,15,339,2.1304347826087,9,49,TRUE
0,1,7.14285714285714,33,50,12,51,84,2.28571428571429,6,16,1,1,1,0,7,7,7,1,0,0,0,0,0,0,0.142857142857143,1,1,121,3.28571428571429,12,23,FALSE
1,5,8.14705882352941,68,277,11.0294117647059,66,375,1.85294117647059,6,63,6,12,12,0,16.5,30,33,1,4,8,8,0.5,1,1,0.705882352941177,3,24,519,2.47058823529412,9,84,TRUE
0,1,7.30769230769231,35,95,11.0769230769231,41,144,2.46153846153846,7,32,2.5,5,5,0,5,8,10,1,0.5,1,1,1.5,3,3,0.923076923076923,2,12,215,3.23076923076923,8,42,FALSE
0,0,1.25,2,5,1.75,5,7,1.25,2,5,0,0,0,0,1,1,1,1,2,2,2,3,3,3,1.25,2,5,23,1.25,2,5,FALSE
0,0,0,0,0,0.5,2,4,0,0,0,0,0,0,1,8,8,8,0,3,3,3,0,0,0,2,5,16,14,0,0,0,FALSE
0,0,3.75,6,15,6.75,14,27,1.5,2,6,1,1,1,0,4,4,4,1,1,1,1,0,0,0,0.75,1,3,51,2.75,7,11,FALSE
0,0,0,0,0,1.5,2,3,1,1,2,0,0,0,0,1,1,1,1,2,2,2,1,1,1,0.5,1,1,14,1,1,2,FALSE
0,0,0.5,1,1,1.5,2,3,1,1,2,1,1,1,0,2,2,2,1,0,0,0,0,0,0,1,2,2,12,1,1,2,FALSE
0,1,3,11,30,6.8,26,68,1.7,3,17,3,3,3,0,10,10,10,1,0,0,0,0,0,0,1.4,4,14,100,2.6,9,26,FALSE
0,0,3.16666666666667,9,19,7.5,19,45,1.5,2,9,1,1,1,0,5,5,5,1,5,5,5,1,1,1,1.16666666666667,2,7,74,3.16666666666667,7,19,FALSE
0,0,1,2,3,2,5,6,1.33333333333333,2,4,0,0,0,0,1,1,1,1,2,2,2,2,2,2,1,2,3,20,1.33333333333333,2,4,FALSE
2,8,8.26666666666667,48,248,10.8666666666667,50,326,1.66666666666667,5,50,7.66666666666667,21,23,0,9.66666666666667,25,29,1,2,6,6,0.333333333333333,1,1,0.466666666666667,2,14,500,2.26666666666667,10,68,FALSE
0,2,4.375,18,105,8.29166666666667,37,199,1.45833333333333,4,35,10,10,10,0,24,24,24,1,0,0,0,0,0,0,0.5,2,12,285,2.29166666666667,12,55,FALSE
0,0,2.5,20,30,8.08333333333333,50,97,1.5,3,18,2,2,2,0,12,12,12,1,9,9,9,0,0,0,0.833333333333333,3,10,150,3.08333333333333,13,37,FALSE
0,0,7.4,12,37,8.6,15,43,1.6,2,8,0,0,0,0,5,5,5,1,0,0,0,0,0,0,1,2,5,68,2,4,10,FALSE
1,1,4.75,10,19,8,14,32,1.75,3,7,1,1,1,0,4,4,4,1,0,0,0,0,0,0,0.5,1,2,53,2.25,4,9,FALSE
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,15,15,0,0,0,0,0,0,19,0,0,0,FALSE
0,0,2.4,9,24,4.8,21,48,1.4,3,14,0,0,0,0,1,1,1,1,0,0,0,9,9,9,0.9,1,9,76,2.3,8,23,FALSE
0,0,10,23,30,9.66666666666667,24,29,2,4,6,0,0,0,0,3,3,3,1,0,0,0,0,0,0,0.666666666666667,1,2,49,2.66666666666667,6,8,FALSE
1,2,13,23,26,19.5,35,39,2.5,4,5,1,1,1,0,2,2,2,1,0,0,0,0,0,0,0.5,1,1,58,2.5,4,5,FALSE
0,1,7,14,21,7.66666666666667,18,23,2.33333333333333,5,7,0,0,0,0,3,3,3,1,0,0,0,0,0,0,0.666666666666667,1,2,40,1.66666666666667,3,5,FALSE
0,0,5.5,6,11,5,6,10,1.5,2,3,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0.5,1,1,21,1.5,2,3,FALSE
0,1,1.875,4,30,2.8125,9,45,1.125,2,18,1,1,1,0,16,16,16,1,3,3,3,0,0,0,0.8125,2,13,102,1.375,3,22,FALSE
0,1,1.25,4,15,2.66666666666667,14,32,1.16666666666667,3,14,2,2,2,0,12,12,12,1,0,0,0,0,0,0,0.583333333333333,1,7,70,1.33333333333333,2,16,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,FALSE
1,0,5,12,25,4.4,8,22,1.4,3,7,0,0,0,0,5,5,5,1,0,0,0,0,0,0,0.4,1,2,38,1.6,4,8,FALSE
1,0,5,12,25,4.4,8,22,1.4,3,7,0,0,0,0,5,5,5,1,0,0,0,0,0,0,0.4,1,2,38,1.6,4,8,FALSE
0,0,0,0,0,0.888888888888889,1,8,1,1,9,4,4,4,0,9,9,9,1,0,0,0,0,0,0,0.444444444444444,1,4,33,1,1,9,FALSE
0,1,1.28571428571429,5,9,2.14285714285714,9,15,1.14285714285714,2,8,2,2,2,0,5,5,5,1,0,0,0,1,1,1,0.571428571428571,1,4,44,1.14285714285714,2,8,FALSE
0,0,2.26666666666667,7,34,3.26666666666667,8,49,1.33333333333333,2,20,4,4,4,0,15,15,15,1,1,1,1,0,0,0,0.533333333333333,1,8,90,1.66666666666667,3,25,FALSE
0,0,1,2,3,2,5,6,1.33333333333333,2,4,0,0,0,0,1,1,1,1,2,2,2,2,2,2,1,2,3,20,1.33333333333333,2,4,FALSE
0,0,3.5,6,14,3.25,5,13,1.25,2,5,0,0,0,0,4,4,4,1,0,0,0,0,0,0,0.5,1,2,25,1.25,2,5,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,5,0,0,0,0,0,0,9,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,4,4,4,0,0,0,2,2,2,8,0,0,0,FALSE
0,0,2.84615384615385,11,37,6.38461538461539,29,83,1.69230769230769,4,22,4,4,4,0,13,13,13,1,4,4,4,0,0,0,0.846153846153846,2,11,127,2.30769230769231,7,30,FALSE
0,1,4.3,10,43,6.3,17,63,1.8,4,18,1,1,1,0,10,10,10,1,0,0,0,0,0,0,1,2,10,90,2,4,20,FALSE
1,0,5.2,12,26,4.8,8,24,1.6,3,8,0,0,0,0,5,5,5,1,0,0,0,0,0,0,0.6,1,3,40,1.8,4,9,FALSE
0,0,2.5,3,5,2,3,4,1,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,0,1,2,2,12,1,1,2,FALSE
1,0,9,14,45,16.8,26,84,1.8,3,9,3,3,3,0,5,5,5,1,1,1,1,0,0,0,1.8,3,9,117,5.4,12,27,FALSE
0,0,1.875,10,15,4,21,32,1.75,5,14,1,1,1,0,5,5,5,1,2,2,2,3,3,3,0.625,3,5,60,2.125,8,17,FALSE
0,0,11,19,22,14,24,28,1.5,2,3,0,0,0,0,2,2,2,1,3,3,3,0,0,0,1,2,2,43,1.5,2,3,FALSE
3,1,5.33333333333333,10,32,10.8333333333333,19,65,2.16666666666667,4,13,6,6,6,0,6,6,6,1,0,0,0,0,0,0,0.5,1,3,94,2.5,6,15,FALSE
1,0,4,7,8,5,8,10,1,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,0,1,2,2,21,2.5,4,5,FALSE
1,0,3,3,3,3,3,3,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3,3,3,12,1,1,1,FALSE
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,12,12,0,0,0,0,0,0,16,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,10,10,0,0,0,0,0,0,0,0.4,1,4,17,0,0,0,FALSE
1,0,0.777777777777778,5,7,2.11111111111111,11,19,1.11111111111111,2,10,1,1,1,0,8,8,8,1,3,3,3,1,1,1,0.555555555555556,2,5,49,1.11111111111111,2,10,FALSE
6,1,11.4,33,114,13.1,32,131,1.4,4,14,13,13,13,0,10,10,10,1,0,0,0,0,0,0,0.6,1,6,189,1.5,4,15,FALSE
1,0,8.8,13,44,22.4,35,112,2.8,4,14,2,2,2,0,5,5,5,1,2,2,2,0,0,0,1,1,5,139,7.6,13,38,FALSE
1,2,6.21052631578947,24,118,9.36842105263158,39,178,1.68421052631579,4,32,2,2,2,0,19,19,19,1,0,0,0,0,0,0,1.10526315789474,3,21,240,2.73684210526316,10,52,FALSE
0,0,5.66666666666667,12,17,6.33333333333333,13,19,1.33333333333333,2,4,1,1,1,0,3,3,3,1,0,0,0,0,0,0,1,1,3,34,1.66666666666667,3,5,FALSE
0,0,4.66666666666667,10,28,6.66666666666667,16,40,1.33333333333333,2,8,1,1,1,0,6,6,6,1,1,1,1,0,0,0,1.16666666666667,2,7,63,2.5,5,15,FALSE
1,0,8.16666666666667,20,49,16.1666666666667,43,97,2.5,4,15,2,2,2,0,6,6,6,1,1,1,1,0,0,0,0.666666666666667,2,4,126,6.33333333333333,19,38,TRUE
3,0,8,24,56,9.42857142857143,19,66,1.57142857142857,3,11,7,7,7,0,7,7,7,1,0,0,0,0,0,0,0.571428571428571,1,4,104,2.14285714285714,7,15,FALSE
6,9,6.18181818181818,36,408,8.71212121212121,52,575,1.86363636363636,8,123,10,10,10,0,60,60,60,1,13,13,13,0,0,0,0.590909090909091,2,39,815,2.56060606060606,14,169,TRUE
0,0,1.66666666666667,3,10,1.16666666666667,2,7,1,1,6,1,1,1,0,6,6,6,1,0,0,0,0,0,0,0.333333333333333,2,2,29,1,1,6,FALSE
1,0,1,5,6,2,9,12,1,2,6,1,1,1,0,6,6,6,1,0,0,0,0,0,0,0.666666666666667,1,4,36,1,2,6,FALSE
0,0,1,2,3,2,5,6,1.33333333333333,2,4,0,0,0,0,1,1,1,1,2,2,2,2,2,2,1,2,3,20,1.33333333333333,2,4,FALSE
0,0,5,12,15,7.66666666666667,17,23,1.66666666666667,3,5,2,2,2,0,3,3,3,1,0,0,0,0,0,0,1,2,3,44,2.66666666666667,6,8,FALSE
0,0,3,5,9,5,7,15,1.66666666666667,2,5,1,1,1,0,3,3,3,1,0,0,0,0,0,0,1.66666666666667,2,5,35,2.66666666666667,4,8,FALSE
1,0,4.83333333333333,23,29,9.66666666666667,28,58,1.83333333333333,3,11,2,2,2,0,6,6,6,1,2,2,2,0,0,0,0.666666666666667,3,4,85,3.16666666666667,6,19,FALSE
0,0,2.75,6,11,6.25,15,25,1.75,3,7,0,0,0,0,1,1,1,1,0,0,0,3,3,3,1.5,2,6,41,2.75,5,11,FALSE
1,0,1.55555555555556,4,14,3.88888888888889,17,35,1.22222222222222,2,11,1,1,1,0,9,9,9,1,2,2,2,0,0,0,1.44444444444444,3,13,63,2.22222222222222,9,20,FALSE
0,0,6.75,11,27,9.5,16,38,2.25,4,9,1,1,1,0,4,4,4,1,0,0,0,0,0,0,1,2,4,61,3,6,12,FALSE
1,0,4.25,7,17,5,9,20,1,1,4,3,3,3,0,4,4,4,1,0,0,0,0,0,0,0.5,1,2,37,1,1,4,FALSE
1,0,6.5,8,13,8.5,9,17,2,2,4,1,1,1,0,2,2,2,1,0,0,0,0,0,0,1,2,2,26,2.5,3,5,FALSE
1,0,4.15384615384615,22,54,15.9230769230769,56,207,2,4,26,5,8,10,0,6.5,10,13,1,0.5,1,1,0,0,0,2.15384615384615,5,28,250,6.53846153846154,24,85,FALSE
1,0,2.5,3,5,1.5,2,3,1,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,0,1,2,2,10,1,1,2,FALSE
5,0,6.125,19,49,12.625,48,101,1.625,3,13,5,5,5,0,8,8,8,1,0,0,0,0,0,0,0.625,1,5,137,4,20,32,FALSE
0,0,3,5,6,4.5,7,9,1.5,2,3,0,0,0,0,2,2,2,1,0,0,0,0,0,0,1,2,2,17,1.5,2,3,FALSE
0,0,1.5,3,3,2.5,4,5,1,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,0,1.5,2,3,15,1.5,2,3,FALSE
0,0,1.5,3,3,3,4,6,1,1,2,1,1,1,0,2,2,2,1,0,0,0,0,0,0,2,3,4,18,1.5,2,3,FALSE
1,0,5.75,11,23,5.75,10,23,1.25,2,5,1,1,1,0,4,4,4,1,0,0,0,0,0,0,1.25,3,5,41,2,4,8,FALSE
0,0,2.5,4,5,2,2,4,1,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,0,1,2,2,12,1,1,2,FALSE
1,0,2.2,7,11,6.2,17,31,1.6,4,8,0,0,0,0,4,4,4,1,1,1,1,1,1,1,0.6,1,3,57,2.2,5,11,FALSE
0,0,3,5,6,4.5,7,9,1.5,2,3,0,0,0,0,2,2,2,1,0,0,0,0,0,0,1,2,2,17,1.5,2,3,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,1,1,2,6,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,6,6,0,0,0,0,0,0,10,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,9,0,0,0,0,0,0,0,0.222222222222222,1,2,15,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,17,17,17,0,0,0,0,0,0,0,0.235294117647059,1,4,24,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,0,0,0,0,0,0,1,1,3,6,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,0,0,0,0,0,0,0,0.833333333333333,2,5,9,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,4,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,18,18,0,0,0,0,0,0,21,0,0,0,FALSE
0,0,1,2,3,2,5,6,1.33333333333333,2,4,0,0,0,0,1,1,1,1,2,2,2,2,2,2,1,2,3,20,1.33333333333333,2,4,FALSE
0,0,0.578947368421053,9,11,2,14,38,1.05263157894737,2,20,9,9,9,0,19,19,19,1,0,0,0,0,0,0,0.578947368421053,2,11,91,1.31578947368421,6,25,FALSE
0,0,2.66666666666667,7,32,4.75,14,57,1.25,2,15,1,1,1,0,11,11,11,1,1,1,1,1,1,1,0.833333333333333,2,10,96,1.83333333333333,5,22,FALSE
0,0,0,0,0,1.5,3,6,1,1,4,2,2,2,0,4,4,4,1,0,0,0,0,0,0,0.75,2,3,20,1,1,4,FALSE
0,0,0.428571428571429,2,3,1,1,7,1,1,7,3,3,3,0,7,7,7,1,0,0,0,0,0,0,0.428571428571429,1,3,29,1,1,7,FALSE
0,2,3.15384615384615,22,123,6.41025641025641,35,250,1.53846153846154,3,60,11,11,11,0,36,36,36,1,0,0,0,0,0,0,0.384615384615385,2,15,350,2.53846153846154,8,99,FALSE
2,4,6.52941176470588,40,111,9.76470588235294,49,166,1.76470588235294,5,30,10,10,10,0,17,17,17,1,1,1,1,0,0,0,0.705882352941177,3,12,253,1.88235294117647,3,32,FALSE
0,0,3,7,12,7.25,15,29,1.5,2,6,3,3,3,0,4,4,4,1,0,0,0,0,0,0,1.5,2,6,49,3,6,12,FALSE
2,7,4.61702127659574,30,217,9.85106382978723,69,463,1.72340425531915,5,81,13,13,13,0,47,47,47,1,2,2,2,0,0,0,0.765957446808511,3,36,618,2.95744680851064,25,139,FALSE
1,0,3.91666666666667,19,47,8.5,28,102,1.75,4,21,2,2,2,0,12,12,12,1,6,6,6,0,0,0,0.916666666666667,2,11,211,3.33333333333333,10,40,FALSE
0,0,1,2,2,8,13,16,2,3,4,0,0,0,0,2,2,2,1,0,0,0,0,0,0,1,2,2,26,3,5,6,FALSE
0,0,1.5,3,3,2.5,4,5,1,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,0,1.5,2,3,15,1.5,2,3,FALSE
0,0,7.33333333333333,11,22,9.33333333333333,14,28,1.66666666666667,2,5,0,0,0,0,3,3,3,1,0,0,0,0,0,0,1.33333333333333,2,4,47,2.33333333333333,4,7,FALSE
0,0,0.666666666666667,2,2,3,5,9,1,1,3,0,0,0,0,2,2,2,1,1,1,1,1,1,1,0.333333333333333,1,1,22,1.66666666666667,2,5,FALSE
0,0,4,7,8,4.5,7,9,1.5,2,3,0,0,0,0,2,2,2,1,0,0,0,0,0,0,1,2,2,17,1.5,2,3,FALSE
0,7,5.34545454545455,20,294,8.03636363636364,29,442,1.56363636363636,5,86,5.33333333333333,20,32,0,8.83333333333333,32,53,1,0.333333333333333,2,2,0,0,0,0.854545454545454,5,47,618,1.78181818181818,6,98,FALSE
0,0,8,15,16,10,18,20,2,3,4,0,0,0,0,2,2,2,1,0,0,0,0,0,0,1,2,2,34,3,5,6,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,6,6,0,0,0,0,0,0,9,0,0,0,FALSE
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,25,25,0,0,0,0,0,0,29,0,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,6,0,0,0,FALSE
0,0,5,7,15,7,11,21,2.33333333333333,3,7,0,0,0,0,3,3,3,1,0,0,0,0,0,0,1,2,3,35,3.33333333333333,6,10,FALSE
